State,District,Block
Andhra Pradesh,Alluri Sitharama Raju,All Blocks
Andhra Pradesh,Anakapalli,All Blocks
Andhra Pradesh,Anantapur,Agali
Andhra Pradesh,Anantapur,Amadagur
Andhra Pradesh,Anantapur,Amarapuram
Andhra Pradesh,Anantapur,Anantapur
Andhra Pradesh,Anantapur,Atmakur
Andhra Pradesh,Anantapur,Bathalapalle
Andhra Pradesh,Anantapur,Beluguppa
Andhra Pradesh,Anantapur,Bommanahal
Andhra Pradesh,Anantapur,Brahmasamudram
Andhra Pradesh,Anantapur,Bukkapatnam
Andhra Pradesh,Anantapur,Bukkarayasamudram
Andhra Pradesh,Anantapur,Chenne Kothapalle
Andhra Pradesh,Anantapur,Chilamathur
Andhra Pradesh,Anantapur,D Hirehal
Andhra Pradesh,Anantapur,Dharmavaram
Andhra Pradesh,Anantapur,Gandlapenta
Andhra Pradesh,Anantapur,Garladinne
Andhra Pradesh,Anantapur,Gooty
Andhra Pradesh,Anantapur,Gorantla
Andhra Pradesh,Anantapur,Gudibanda
Andhra Pradesh,Anantapur,Gummagatta
Andhra Pradesh,Anantapur,Guntakal
Andhra Pradesh,Anantapur,Hindupur
Andhra Pradesh,Anantapur,Kadiri
Andhra Pradesh,Anantapur,Kalyandurg
Andhra Pradesh,Anantapur,Kambadur
Andhra Pradesh,Anantapur,Kanaganapalle
Andhra Pradesh,Anantapur,Kanekal
Andhra Pradesh,Anantapur,Kothacheruvu
Andhra Pradesh,Anantapur,Kudair
Andhra Pradesh,Anantapur,Kundurpi
Andhra Pradesh,Anantapur,Lepakshi
Andhra Pradesh,Anantapur,Madakasira
Andhra Pradesh,Anantapur,Mudigubba
Andhra Pradesh,Anantapur,Nallacheruvu
Andhra Pradesh,Anantapur,Nallamada
Andhra Pradesh,Anantapur,Nambulipulikunta
Andhra Pradesh,Anantapur,Narpala
Andhra Pradesh,Anantapur,Obuladevaracheruvu
Andhra Pradesh,Anantapur,Pamidi
Andhra Pradesh,Anantapur,Parigi
Andhra Pradesh,Anantapur,Peddapappur
Andhra Pradesh,Anantapur,Peddavadugur
Andhra Pradesh,Anantapur,Penu Konda
Andhra Pradesh,Anantapur,Putlur
Andhra Pradesh,Anantapur,Puttaparthi
Andhra Pradesh,Anantapur,Ramagiri
Andhra Pradesh,Anantapur,Raptadu
Andhra Pradesh,Anantapur,Rayadurg
Andhra Pradesh,Anantapur,Roddam
Andhra Pradesh,Anantapur,Rolla
Andhra Pradesh,Anantapur,Settur
Andhra Pradesh,Anantapur,Singanamala
Andhra Pradesh,Anantapur,Somandepalle
Andhra Pradesh,Anantapur,Tadimarri
Andhra Pradesh,Anantapur,Tadpatri
Andhra Pradesh,Anantapur,Talupula
Andhra Pradesh,Anantapur,Tanakal
Andhra Pradesh,Anantapur,Uravakonda
Andhra Pradesh,Anantapur,Vajrakarur
Andhra Pradesh,Anantapur,Vidapanakal
Andhra Pradesh,Anantapur,Yadiki
Andhra Pradesh,Anantapur,Yellanur
Andhra Pradesh,Annamayya,All Blocks
Andhra Pradesh,Bapatla,All Blocks
Andhra Pradesh,Chittoor,B Kothakota
Andhra Pradesh,Chittoor,Baireddi Palle
Andhra Pradesh,Chittoor,Bangarupalem
Andhra Pradesh,Chittoor,Buchinaidu Khandriga
Andhra Pradesh,Chittoor,Chandragiri
Andhra Pradesh,Chittoor,Chinnagottigallu
Andhra Pradesh,Chittoor,Chittoor
Andhra Pradesh,Chittoor,Chowdepalle
Andhra Pradesh,Chittoor,Gangadhara Nellore
Andhra Pradesh,Chittoor,Gangavaram
Andhra Pradesh,Chittoor,Gudipala
Andhra Pradesh,Chittoor,Gudupalle
Andhra Pradesh,Chittoor,Gurramkonda
Andhra Pradesh,Chittoor,Irala
Andhra Pradesh,Chittoor,K V P Puram
Andhra Pradesh,Chittoor,Kalakada
Andhra Pradesh,Chittoor,Kalikiri
Andhra Pradesh,Chittoor,Kambhamvaripalle
Andhra Pradesh,Chittoor,Karvetinagar
Andhra Pradesh,Chittoor,Kuppam
Andhra Pradesh,Chittoor,Kurabalakota
Andhra Pradesh,Chittoor,Mandanpalle
Andhra Pradesh,Chittoor,Mulakalacheruvu
Andhra Pradesh,Chittoor,Nagalapuram
Andhra Pradesh,Chittoor,Nagari
Andhra Pradesh,Chittoor,Narayanavanam
Andhra Pradesh,Chittoor,Nimmanapalle
Andhra Pradesh,Chittoor,Nindra
Andhra Pradesh,Chittoor,Pakala
Andhra Pradesh,Chittoor,Palamaner
Andhra Pradesh,Chittoor,Palasamudram
Andhra Pradesh,Chittoor,Pedda Panjani
Andhra Pradesh,Chittoor,Peddamandyam
Andhra Pradesh,Chittoor,Peddathippasamudram
Andhra Pradesh,Chittoor,Penumuru
Andhra Pradesh,Chittoor,Pichatur
Andhra Pradesh,Chittoor,Pileru
Andhra Pradesh,Chittoor,Pulicherla
Andhra Pradesh,Chittoor,Punganur
Andhra Pradesh,Chittoor,Puthalapattu
Andhra Pradesh,Chittoor,Puttur
Andhra Pradesh,Chittoor,Rama Kuppam
Andhra Pradesh,Chittoor,Ramachandrapuram
Andhra Pradesh,Chittoor,Ramasamudram
Andhra Pradesh,Chittoor,Renigunta
Andhra Pradesh,Chittoor,Rompicherla
Andhra Pradesh,Chittoor,Santhi Puram
Andhra Pradesh,Chittoor,Satyavedu
Andhra Pradesh,Chittoor,Sodam
Andhra Pradesh,Chittoor,Somala
Andhra Pradesh,Chittoor,Srikalahasti
Andhra Pradesh,Chittoor,Srirangarajapuram
Andhra Pradesh,Chittoor,Thamballapalle
Andhra Pradesh,Chittoor,Thavanampalle
Andhra Pradesh,Chittoor,Thottambedu
Andhra Pradesh,Chittoor,Tirupati Rural
Andhra Pradesh,Chittoor,Tirupati Urban
Andhra Pradesh,Chittoor,Vadamalapeta
Andhra Pradesh,Chittoor,Varadaiahpalem
Andhra Pradesh,Chittoor,Vayalpad
Andhra Pradesh,Chittoor,Veduru Kuppam
Andhra Pradesh,Chittoor,Venkatagiri Kota
Andhra Pradesh,Chittoor,Vijaya Puram
Andhra Pradesh,Chittoor,Yadamari
Andhra Pradesh,Chittoor,Yerpedu
Andhra Pradesh,Chittoor,Yerravaripalem
Andhra Pradesh,Dr BR Ambedkar Konaseema,All Blocks
Andhra Pradesh,East Godavari,Addateegala
Andhra Pradesh,East Godavari,Ainavilli
Andhra Pradesh,East Godavari,Alamuru
Andhra Pradesh,East Godavari,Allavaram
Andhra Pradesh,East Godavari,Amalapuram
Andhra Pradesh,East Godavari,Ambajipeta
Andhra Pradesh,East Godavari,Anaparthi
Andhra Pradesh,East Godavari,Atreyapuram
Andhra Pradesh,East Godavari,Biccavolu
Andhra Pradesh,East Godavari,Devipatnam
Andhra Pradesh,East Godavari,Gandepalle
Andhra Pradesh,East Godavari,Gangavaram
Andhra Pradesh,East Godavari,Gokavaram
Andhra Pradesh,East Godavari,Gollaprolu
Andhra Pradesh,East Godavari,I Polavaram
Andhra Pradesh,East Godavari,Jaggampeta
Andhra Pradesh,East Godavari,Kadiam
Andhra Pradesh,East Godavari,Kajuluru
Andhra Pradesh,East Godavari,Kakinada (Rural)
Andhra Pradesh,East Godavari,Kapileswarapuram
Andhra Pradesh,East Godavari,Karapa
Andhra Pradesh,East Godavari,Katrenikona
Andhra Pradesh,East Godavari,Kirlampudi
Andhra Pradesh,East Godavari,Korukonda
Andhra Pradesh,East Godavari,Kotananduru
Andhra Pradesh,East Godavari,Kothapalli
Andhra Pradesh,East Godavari,Kothapeta
Andhra Pradesh,East Godavari,Malikipuram
Andhra Pradesh,East Godavari,Mamidikuduru
Andhra Pradesh,East Godavari,Mandapeta
